id,user_id,resource_id,ssno,resource_name,author,borrow_start_time,borrow_end_time
29153,72c2ef261f699f786ddc92813e60640a,1000570,1000570,共生的理想--现代交往与共生、共同的思想,(日)尾关周二著,2020/1/1 13:54,2020/1/8 13:54
29154,e56d8b60fca0f50cb4aab0602c92943b,32024253,32024253,鱼雷热动力装置设计原理,马世杰,2020/1/1 13:58,2020/1/8 13:58
29156,9d5a20621cf8c096bdf00872236a56e3,6834273,6834273,多孔介质流体动力学,J·贝尔（著）；李竞生；陈崇希,2020/1/1 14:01,2020/1/8 14:01
29157,21fa6445a3310b8161637d95d68ea789,33176086,33176086,组合导航系统,孙枫  袁赣南  张晓红,2020/1/1 14:05,2020/1/8 14:05
29158,64b6b76cfbe4e7c983be743778968f9d,14022731,14022731,湖北省志·大事记,湖北省地方志编篡委员会,2020/1/1 14:09,2020/1/8 14:09
29159,f2935627311ee09d240121721ee39146,7102476,7102476,南京简志,南京市地方志编纂委员会,2020/1/1 14:16,2020/1/8 14:16
29160,ffc0717f3583796396032ae0c36345d4,61005385,61005385,歷朝名媛詩詞：卷六至卷八,(清)陸昶評（選）,2020/1/1 14:17,2020/1/8 14:17
29161,f2935627311ee09d240121721ee39146,98002683,98002683,南京,堀川靜夫,2020/1/1 14:22,2020/1/8 14:22
29162,ffc0717f3583796396032ae0c36345d4,4916225,4916225,南村辍耕录,〔元〕陶宗仪,2020/1/1 14:22,2020/1/8 14:22
29163,64b6b76cfbe4e7c983be743778968f9d,51200881,51200881,武汉粮食志：1840-1986,武汉市粮食局（编）,2020/1/1 14:23,2020/1/8 14:23
29164,31931b35ff0940061cadc9d17cac00af,33000443,33000443,实用英语修辞,吕煦,2020/1/1 14:24,2020/1/8 14:24
29165,f2935627311ee09d240121721ee39146,70004627,70004627,南京,本社编,2020/1/1 14:24,2020/1/8 14:24
29166,64b6b76cfbe4e7c983be743778968f9d,14022754,14022754,湖北省志·经济综合管理,湖北地方志编纂委员会,2020/1/1 14:25,2020/1/8 14:25
29167,64b6b76cfbe4e7c983be743778968f9d,4911561,4911561,全国农业学大寨先进典型经验选编,,2020/1/1 14:30,2020/1/8 14:30
29168,73e328e91948992608ce39a5ffbc82ed,33181088,33181088,清初学术思辨录,陈祖武,2020/1/1 14:36,2020/1/8 14:36
29169,3d4cfef3222e606deaeb15c6396bc423,6842583,6842583,光探测器与红外探测器,(美)R.J.凯斯（主编）；董培芝,2020/1/1 14:36,2020/1/8 14:36
29170,60e7457343172e0e9d92507c4252fbcf,85010579,85010579,Загадка вещества,Из чего состоит мир; В. Мезенцев,2020/1/1 14:37,2020/1/8 14:37
29171,f2935627311ee09d240121721ee39146,3002439,3002439,金陵明故宫图考,葛定华,2020/1/1 14:39,2020/1/8 14:39
29172,ffc0717f3583796396032ae0c36345d4,6391086,6391086,词苑丛谈,(清)徐釚（著）,2020/1/1 14:51,2020/1/8 14:51
29174,f17bf5bd9f32270d11b8e3c21f6e10b4,13052611,13052611,中国图书馆事业史学习指导书,,2020/1/1 14:51,2020/1/8 14:51
29175,f17bf5bd9f32270d11b8e3c21f6e10b4,13052611,13052611,中国图书馆事业史学习指导书,,2020/1/1 14:51,2020/1/8 14:51
29176,f1b39701424e4ada357f63a1ac935df6,6875045,6875045,一六四○年英国革命史,(法)F·基佐（著）；(英)W·黑兹利特；伍光建,2020/1/1 14:54,2020/1/8 14:54
29177,28b7e60f9967ac6cb0c438a7320e1613,6856320,6856320,可转移信度模型,The Transferable Belief Model；P.司麦斯,2020/1/1 15:00,2020/1/8 15:00
29178,60e7457343172e0e9d92507c4252fbcf,85000007,85000007,Искусство и художник в зарубежной новелле ⅩⅨ века,"Ковалева, И. С.",2020/1/1 15:03,2020/1/8 15:03
29179,60e7457343172e0e9d92507c4252fbcf,85000007,85000007,Искусство и художник в зарубежной новелле ⅩⅨ века,"Ковалева, И. С.",2020/1/1 15:03,2020/1/8 15:03
29180,36075fe72bac052f643b38c0519de760,33102798,33102798,生产计划与控制——概念、方法与系统,陈荣秋,2020/1/1 15:07,2020/1/8 15:07
29181,f1b39701424e4ada357f63a1ac935df6,6382325,6382325,一六四○年英国革命史,(法)F.基佐（著）；伍光建,2020/1/1 15:15,2020/1/8 15:15
29182,3e0bd08c3855838f896ad72ade3cef6a,33046212,33046212,毛泽东年谱：1893-1949  （下卷）,中共中央文献研究室编,2020/1/1 15:36,2020/1/8 15:36
29183,a0ff39829f86b386240e9995569be05c,11102985,11102985,博物馆学通论,陈端志,2020/1/1 15:39,2020/1/8 15:39
29184,c00c07eace962f6eaa5924681baf840d,16080381,16080381,"The happy prince, and other tales","Wilde, Oscar",2020/1/1 15:39,2020/1/8 15:39
29185,35f6e9ba312c711acc50dd686a7aec9f,11202704,11202704,紗籠文選：三,(清)釋含澈；(清)鄧實森,2020/1/1 15:45,2020/1/8 15:45
29186,e2ba2e7e0665e4b65eb7da103c6cee03,33172222,33172222,岩体力学,刘佑荣  唐辉明编著,2020/1/1 15:45,2020/1/8 15:45
29187,ef88e4fa794ca040565f7a8d2418cb22,6368196,6368196,西洋番国志,(明)鞏珍（著）,2020/1/1 15:47,2020/1/8 15:47
29189,ef88e4fa794ca040565f7a8d2418cb22,6368196,6368196,西洋番国志,(明)鞏珍（著）,2020/1/1 15:47,2020/1/8 15:47
29190,bcb046eeedde84850ef8e6e432f040ba,2009301,2009301,中華基督教女青年會第一次全國大會記錄,,2020/1/1 15:48,2020/1/8 15:48
29191,6d4c2b5473cb2752f4e1e0f82aedd838,6389365,6389365,朱自清研究资料,朱金顺（编）,2020/1/1 15:55,2020/1/8 15:55
29192,7fea284156e6c3cc2d7ee05a4beda716,2089912,2089912,御製大誥,(明)朱元璋撰,2020/1/1 15:56,2020/1/8 15:56
29193,87425460d21f26307d01fe45a4f4bace,14012365,14012365,集成化MES若干关键技术研究,徐晓光,2020/1/1 16:00,2020/1/8 16:00
29194,7fea284156e6c3cc2d7ee05a4beda716,2089913,2089913,御製大誥續編,(明)朱元璋撰,2020/1/1 16:02,2020/1/8 16:02
